text,date,from
"Think about it this way<br><br>Use your common sense, avoid public areas and avoid martial law.<br><br>Or don’t, and experience militarised police, curfews and a restriction to your rights.<br><br>Chose wisely.",20200320,SUN
&quot;Advice&quot; doesn&#39;t really work. There&#39;s still loads of people going to pubs and other social events. They need to be closed by law.,20200320,SUN
He sounds like a Teacher threatening to keep kids after school “the longer you fool around the worse it will be for everyone else.” Yeah Grow Up those of you breaking quarantine are ruining it for the rest of us.,20200320,SUN
CANCEL COUNCIL TAX FOR MARCH AND APRIL,20200320,SUN
Then please solve the issue regarding the self employed...my husband is a gardener and as asthma..he cannot take 12 weeks off..we wouldn&#39;t be able to pay our bills. Sort this out...please!,20200320,SUN
There&#39;s more people on my bus to work than my local pub,20200320,SUN
Within a week we’ll be under full lockdown,20200320,SUN
"Over 70s, vulnerable people and pregnant women are on lock down. I work in food retail so will have to carry on working. Categories are in lock down, not everybody.",20200320,SUN
It&#39;s selfish when people travel overseas time like this.,20200320,SUN
Boris needs to grow a pair and just tell the nation that playtime is over.,20200320,SUN
This by the way the same guy who didn&#39;t take it seriously early on when we could of contained it despite italy warning us is now telling us to take it seriously. H Y P O C R I T E S :),20200320,SUN
I have anxiety so I already self quarantine . I’m sound 😂,20200320,SUN
"Financial aid for people needs to be implemented for those who need it ASAP, the amount of times the general public have bailed out banks and big business surely its about time they returned the favour.",20200320,SUN
"Nobody taking this seriously , wait till that temporary mortuary in London starts filling up",20200320,SUN
"I’ve just had to wait in the car while taking the wife to TRY and find food, and the amount of people walking about coughing and next to each other not listening is unbelievable! <br><br>We need a lock down because nobody is giving a crap.",20200320,SUN
"Don’t forget a few days ago, the PM still insisted on herd immunity which is best to UK!  Does he really underestimate the impact of coronavirus!!",20200320,SUN
Well force a lock down then!  And they will take it seriously.,20200320,SUN
"Businesses can&#39;t claim on their insurance until the lockdown is enforced by law. Our govt is sneakily  making it impossible for pubs, cafes etc to close down.",20200320,SUN
Nobody is taking it seriously from what I can see in my town Really would be a good idea if they did a lockdown,20200320,SUN
Take the money from the rich and give it to the poor,20200320,SUN
Selected muppets to voice the opinions of a opressed nation,20210222,DailyMail
Actors and bad ones at that.All those blue masks are out of the same packet.,20210222,DailyMail
"When you think of &quot;sheeple&quot;, here they are.  The only gaps here, is between these peoples ears.",20210222,DailyMail
Wearing useless masks that don’t work outside says it all,20210222,DailyMail
"First thing that came into my head, Actors.",20210222,DailyMail
"Poopaganda really bad! Protect your families and children from this poison, we’re being blackmailed into having this jab 👹",20210222,DailyMail
Hand picked views.,20210222,DailyMail
Imagine if the main stream media interviewed real people.,20210222,DailyMail
Why are so many people seemingly frightened of the fresh air?,20210222,DailyMail
YOUR CHILDREN WILL BE THE FIRST SUBJECTS OF REGULAR MANDATORY TESTING.,20210222,DailyMail
If you look into their eyes you can see the back of their heads..... 🐑 🐑,20210222,DailyMail
Actors!!!,20210222,DailyMail
"8 weeks before small business can open again whilst the supermarkets are cashing in yet again. Way to long, after Easter would have been long enough.",20210222,DailyMail
The public want to see Boris &amp; the government in Jail thats the Public reaction!,20210222,DailyMail
Omg how nieve are you people,20210222,DailyMail
"\"Baaaaa!!!! Sheeple. Yield and comply to <a href=\"\"http://www.youtube.com/results?search_query=%23covid2\"\">#Covid2</a> comming soon.\"",20210222,DailyMail
Take off those damned masks!<br>Is this what the kids have become....stupid?<br>GET ANGRY FOR GOD&#39;S SAKE!,20210222,DailyMail
Stuff your rules,20210222,DailyMail
I love reading comments on British people being angry over Boris,20210222,DailyMail
🐑,20210222,DailyMail
May the strongest immune system win,20200623,Guardian
Imagine what the ques for the barbers are going to be like when they reopen next Saturday lol,20200623,Guardian
