,channelId,channelTitle,videoId,vidoeTitle,description,link,time,year,month,day
0,UC16niRr50-MSBwiO3YDb3RA,BBC News,qbbex8uDlo4,What happens when the internet vanishes? - BBC News,"New research shows that the internet was deliberately shutdown more than 200 times last year in 33 separate countries. The outages, orchestrated by ...",https://www.youtube.com/watch?v=qbbex8uDlo4,2020-03-01T09:38:57Z,2020,3,1
1,UC16niRr50-MSBwiO3YDb3RA,BBC News,VHtCmp3oN04,The North Korean prisoner who escaped with her guard - BBC News,How a prison guard and a prisoner made their break together from one of the world's most secretive states. Please subscribe HERE http://bit.ly/1rbfUog.,https://www.youtube.com/watch?v=VHtCmp3oN04,2020-03-01T09:38:29Z,2020,3,1
2,UC16niRr50-MSBwiO3YDb3RA,BBC News,OKHYGZCsQlc,Paragliding over Tenerife&#39;s coronavirus-hit hotel - BBC News,Some British tourists have been given the all-clear to go back home after spending a week quarantined inside their hotel rooms in Tenerife. BBC correspondent ...,https://www.youtube.com/watch?v=OKHYGZCsQlc,2020-03-02T15:28:51Z,2020,3,2
3,UC16niRr50-MSBwiO3YDb3RA,BBC News,CMUQIlvv1to,Coronavirus: EU raises virus risk level as world cases grow  - BBC News,"Number of deaths worldwide now more than 3000 More than 90% are in Hubei, China, but there have been deaths in 10 other countries European Union ...",https://www.youtube.com/watch?v=CMUQIlvv1to,2020-03-02T12:49:12Z,2020,3,2
4,UC16niRr50-MSBwiO3YDb3RA,BBC News,OAijpT8naZk,Coronavirus: UK government says 1 in 5 workers could be off –BBC News,The UK government has unveiled detailed plans for what measures it would take in the event of a widespread outbreak of Coronavirus. It considers a scenario in ...,https://www.youtube.com/watch?v=OAijpT8naZk,2020-03-03T22:59:11Z,2020,3,3
5,UC16niRr50-MSBwiO3YDb3RA,BBC News,VeF6LwcR6RY,China economy: Why it matters to you - BBC News,"China is one of the world's biggest economies. It makes all sorts of products and sells them all over the world, from iPhones to air conditioners, and many ...",https://www.youtube.com/watch?v=VeF6LwcR6RY,2020-03-03T13:46:46Z,2020,3,3
6,UC16niRr50-MSBwiO3YDb3RA,BBC News,E-l4lYpHatY,Delhi riots: &#39;My brother died after police beating’ - BBC News,Naeem says his brother Faizan died after he was beaten by police during religious rioting in Delhi last week. Video of the incident has gone viral. More than 40 ...,https://www.youtube.com/watch?v=E-l4lYpHatY,2020-03-03T11:27:34Z,2020,3,3
7,UC16niRr50-MSBwiO3YDb3RA,BBC News,fnrpUGOxTaw,Coronavirus: World in &#39;uncharted territory&#39; - BBC News,There are a total of 90936 confirmed cases worldwide - although more than half of those (47995) have already recovered. The biggest numbers are still by far in ...,https://www.youtube.com/watch?v=fnrpUGOxTaw,2020-03-03T07:15:19Z,2020,3,3
8,UC16niRr50-MSBwiO3YDb3RA,BBC News,wHIvRysWRWY,Coronavirus: How is Iran responding to the outbreak? - BBC News,"Image copyrightAFP/GETTY IMAGES Iran has been scrambling to control the outbreak of the coronavirus this week, but the spread of online misinformation is ...",https://www.youtube.com/watch?v=wHIvRysWRWY,2020-03-03T06:48:19Z,2020,3,3
9,UC16niRr50-MSBwiO3YDb3RA,BBC News,0hJWKc8ITRQ,Super Tuesday results: What next for the big three? - BBC News,Super Tuesday provided contrasting fortunes for the Democratic candidates hoping to take on Donald Trump. BBC reporters were on the ground with the three ...,https://www.youtube.com/watch?v=0hJWKc8ITRQ,2020-03-04T11:25:51Z,2020,3,4
10,UC16niRr50-MSBwiO3YDb3RA,BBC News,9myCF_st7k0,Super Tuesday: What unites bitter rivals Biden and Sanders? - BBC News,Joe Biden and Bernie Sanders have emerged as the two frontrunners in the Democratic race to challenge Donald Trump for the US presidency in November.,https://www.youtube.com/watch?v=9myCF_st7k0,2020-03-04T10:51:20Z,2020,3,4
11,UC16niRr50-MSBwiO3YDb3RA,BBC News,3AgxeIVrH24,Coronavirus v Influenza: How do the two viruses compare? - BBC News,"As coronavirus cases continue to be reported around the world, the World Health Organisation says countries still have a chance of containing the outbreak.",https://www.youtube.com/watch?v=3AgxeIVrH24,2020-03-04T07:43:00Z,2020,3,4
12,UC16niRr50-MSBwiO3YDb3RA,BBC News,qWoL8MsrwpU,First UK Coronavirus death in Berkshire - BBC NEWS,A woman becomes the first person to die with Coronavirus in the UK Health Editor Hugh Pym reports on the Government's latest attempts to contain the spread ...,https://www.youtube.com/watch?v=qWoL8MsrwpU,2020-03-05T22:38:00Z,2020,3,5
13,UC16niRr50-MSBwiO3YDb3RA,BBC News,vmv9XatM2oo,Syria Conflict: Turkey and Russia announce Idlib ceasefire – BBC News,"A ceasefire in Syria's Idlib province has just come into effect in a bid to avoid a major escalation. In Moscow, Russian President Vladimir Putin, and his Turkish ...",https://www.youtube.com/watch?v=vmv9XatM2oo,2020-03-05T22:30:48Z,2020,3,5
14,UC16niRr50-MSBwiO3YDb3RA,BBC News,GoHQtkG6HFE,Brawl erupts in Turkish parliament over Syria - BBC News,"Fighting broke out in Turkey's parliament after an MP criticised President Erdogan over the country's military intervention in Syria. Engin Ozkoc, an opposition ...",https://www.youtube.com/watch?v=GoHQtkG6HFE,2020-03-05T15:05:26Z,2020,3,5
15,UC16niRr50-MSBwiO3YDb3RA,BBC News,AJBT45Dnwik,Lesbos: Child migrants sleep in pens at Mytilene port - BBC News,The governor of the Greek island of Lesbos has told the BBC he apologises for the violent actions of some residents against migrants and aid workers. Costas ...,https://www.youtube.com/watch?v=AJBT45Dnwik,2020-03-05T13:44:05Z,2020,3,5
16,UC16niRr50-MSBwiO3YDb3RA,BBC News,PGjeMDpIf8M,Coronavirus: Italy to close all schools as deaths rise - BBC News,"Italy has confirmed that it will shut all schools from Thursday for 10 days as it battles to contain the coronavirus outbreak. And all professional sport, including ...",https://www.youtube.com/watch?v=PGjeMDpIf8M,2020-03-05T07:57:14Z,2020,3,5
17,UC16niRr50-MSBwiO3YDb3RA,BBC News,nETgZwRuJPU,"Coronavirus: Second British death and more than 100,000 cases worldwide - BBC News",A second person has died from coronavirus in the UK. He was an elderly man with underlying health conditions. The number of people now infected with ...,https://www.youtube.com/watch?v=nETgZwRuJPU,2020-03-06T23:04:15Z,2020,3,6
18,UC16niRr50-MSBwiO3YDb3RA,BBC News,v1m7ZAB0MtI,Syria&#39;s children: Newborn babies born into war - BBC News,"A ceasefire appears to be holding for now in the Syrian province of Idlib, with monitors reporting that no warplanes have been flying - for the first time in weeks.",https://www.youtube.com/watch?v=v1m7ZAB0MtI,2020-03-06T22:37:47Z,2020,3,6
