,channelId,channelTitle,videoId,vidoeTitle,description,link,time,year,month,day
0,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,K3ptVHU6HjU,Jacob Rees-Mogg thrilled at having yard of ale glass when pubs reopen in England,Boris Johnson has urged the nation not to 'overdo it' when pubs and restaurants across England reopen on Saturday. The Prime ...,https://www.youtube.com/watch?v=K3ptVHU6HjU,2020-07-02T16:32:31Z,2020,7,2
1,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,NwxWfodCo68,Trump touts resurgent economy despite admitting there are still &#39;fires&#39; to put out,President Donald Trump bragged about the 'largest monthly job gain in the history of our country' in a hastily arranged public ...,https://www.youtube.com/watch?v=NwxWfodCo68,2020-07-02T16:26:44Z,2020,7,2
2,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,Src8Aqam_pk,ISS resembles Star Wars TIE Fighter as it passes between the sun and Earth in NASA images,"StarWarsDay #Maythe4thBeWithYou It may look like a TIE Fighter in a galaxy far, far away, by the NASA image is the International ...",https://www.youtube.com/watch?v=Src8Aqam_pk,2020-07-02T16:21:25Z,2020,7,2
3,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,hvndEZeGzEw,Frank Lampard says Chelsea&#39;s 3-2 defeat to West Ham &#39;was not a surprise result&#39;,Post match press conference with Chelsea manager Frank Lampard after his side's 3-2 defeat to West Ham in the Premier League ...,https://www.youtube.com/watch?v=hvndEZeGzEw,2020-07-02T16:16:25Z,2020,7,2
4,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,5hmEXQ7A8uA,Lewis Hamilton on racism: &#39;Now is not the time to be silent&#39;,Lewis Hamilton said that 'now is not the time for silence' as he urges F1 to address the lack of diversity in the sport. Formula One ...,https://www.youtube.com/watch?v=5hmEXQ7A8uA,2020-07-02T16:13:51Z,2020,7,2
5,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,euQQijgtJzE,Dachshund tries to teach his cute puppy how to play fetch,"Dilly, the three-year-old Dachshund, is seen rolling a ball towards his four-week-old daughter Mini. Confused, Mini continues ...",https://www.youtube.com/watch?v=euQQijgtJzE,2020-07-02T14:24:51Z,2020,7,2
6,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,xQZKUwr6NiY,Dr Alex George explores pub safety guidelines ahead of reopening on July 4th,Dr Alex George explores the new layout and safety guidelines of pubs ahead of their reopening on July 4th after the lockdown due ...,https://www.youtube.com/watch?v=xQZKUwr6NiY,2020-07-02T12:38:33Z,2020,7,2
7,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,fXdnqtnBDzM,Grant Shapps discusses delay of air bridges announcement,Transport Secretary Grant Shapps today suggested Nicola Sturgeon is to blame for delays to publishing which countries will be ...,https://www.youtube.com/watch?v=fXdnqtnBDzM,2020-07-02T11:56:39Z,2020,7,2
8,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,t5Qi3ZXCCKU,China condemns UK citizenship offer for Hong Kong citizens,Hours after Britain accused China of manoeuvring to 'strangle' Hong Kong's freedoms with a 'grave and deeply disturbing' new ...,https://www.youtube.com/watch?v=t5Qi3ZXCCKU,2020-07-02T11:53:51Z,2020,7,2
9,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,hcJgU2TuqAI,Moment former Mississippi flag with Confederate symbol is lowered at State Capitol,During a ceremony outside the Mississippi State Capitol building in Jackson on Wednesday the flag was taken down for the final ...,https://www.youtube.com/watch?v=hcJgU2TuqAI,2020-07-02T11:51:55Z,2020,7,2
