,channelId,channelTitle,videoId,vidoeTitle,description,link,time,year,month,day
0,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,QOnXQKx3yRs,&#39;Do your job&#39;: New York governor slams Congress on coronavirus crisis aid,"New York governor Andrew Cuomo said on Thursday he was 'disappointed' with the stimulus bill passed by the US Senate on Wednesday night, and called the ...",https://www.youtube.com/watch?v=QOnXQKx3yRs,2020-03-26T20:45:39Z,2020,3,26
1,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,x6Yqs7FWJ3g,Rishi Sunak attends daily briefing on coronavirus outbreak – watch live,Chancellor Rishi Sunak attends briefing to update on the coronavirus outbreak where he will announce a package of measures to help the self-employed.,https://www.youtube.com/watch?v=x6Yqs7FWJ3g,2020-03-26T18:28:59Z,2020,3,26
2,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,k7FKf9c48Yg,"Coronavirus: Rishi Sunak promises up to £2,500 per month for self-employed",Rishi Sunak on Thursday announced a new self-employed income support scheme to help those struggling with the consequences of the coronavirus lockdown ...,https://www.youtube.com/watch?v=k7FKf9c48Yg,2020-03-26T18:02:37Z,2020,3,26
3,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,JbvWniXcNhA,Police drone video shames people using national park during UK lockdown,Derbyshire police have defended using a drone to shame people into staying away from a national park during the lockdown. The force tweeted footage taken ...,https://www.youtube.com/watch?v=JbvWniXcNhA,2020-03-26T16:48:11Z,2020,3,26
4,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,Mqjten3nrEI,House speak Nancy Pelosi holds weekly news conference – watch live,House speak Nancy Pelosi holds weekly news conference.,https://www.youtube.com/watch?v=Mqjten3nrEI,2020-03-26T16:39:38Z,2020,3,26
5,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,X9SBM9ErqQw,Emmanuel Macron drafts French military into &#39;coronavirus war&#39;,The French president has launched a special military operation to help fight the coronavirus pandemic in France. Speaking at a military field hospital in the city of ...,https://www.youtube.com/watch?v=X9SBM9ErqQw,2020-03-26T16:34:12Z,2020,3,26
6,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,xwEMIk8X5MU,Italian coronavirus patient shares experience: &#39;I wore a breathing helmet for six days&#39;,An Italian patient who is recovering from a serious case of pneumonia from Covid-19 has shared his experience recovering in in hospital after being released ...,https://www.youtube.com/watch?v=xwEMIk8X5MU,2020-03-26T15:32:00Z,2020,3,26
7,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,qEtxAfKd0sI,"&#39;9/11 was nothing compared to this coronavirus crisis&#39;, says New York doctor","An intensive care doctor has described New York City's brewing coronavirus crisis as worse than the 11 September 2001 attacks. 'People come in, they get ...",https://www.youtube.com/watch?v=qEtxAfKd0sI,2020-03-26T14:48:23Z,2020,3,26
8,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,xzfG7zApLT0,Bernie Sanders mocks Republicans over coronavirus aid: &#39;The universe is collapsing&#39;,Bernie Sanders clashed with his Republican colleagues as the US Senate debated a historic $2.2tn relief package on Wednesday night. Four senators had ...,https://www.youtube.com/watch?v=xzfG7zApLT0,2020-03-26T11:56:10Z,2020,3,26
9,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,5Ch0_1fDHio,Coronavirus: senate to vote on Covid-19 relief package – watch live,The US senate is expected to vote on a huge coronavirus relief package.,https://www.youtube.com/watch?v=5Ch0_1fDHio,2020-03-26T09:36:13Z,2020,3,26
10,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,3eBA10pS9fM,&#39;Coronavirus wants to kill you&#39;: patient issues plea from ICU,"A 40-year-old pastor suspected of having coronavirus has issued a plea from his hospital bed over social distancing. Struggling to speak, Mark McClurg, from ...",https://www.youtube.com/watch?v=3eBA10pS9fM,2020-03-26T09:33:53Z,2020,3,26
11,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,-tl-a087MC0,Egypt closes Pyramids of Giza site for cleaning to stop coronavirus spread,Egypt has closed the Pyramids of Giza for two weeks as the country moves to stop the spread of coronavirus. The popular tourist site is undergoing a thorough ...,https://www.youtube.com/watch?v=-tl-a087MC0,2020-03-26T04:56:32Z,2020,3,26
12,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,aPWyPGk5iBc,"Trump attacks media, says he doesn&#39;t want 350 million Americans tested for coronavirus","Donald Trump shot down suggestions his push to 're-open' the USA by Easter is to boost his election chances, despite contradictory advice from health officials.",https://www.youtube.com/watch?v=aPWyPGk5iBc,2020-03-26T02:16:35Z,2020,3,26
13,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,Lk61ZtLLYdE,Coronavirus: US task force holds daily briefing – watch live,Donald Trump and other members of the US coronavirus task force brief reporters.,https://www.youtube.com/watch?v=Lk61ZtLLYdE,2020-03-26T01:33:43Z,2020,3,26
14,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,xMA6Gz82iiQ,Jacinda Ardern hosts coronavirus Q&amp;A from home after putting child to bed,"After putting her daughter to bed, New Zealand prime minister Jacinda Ardern hosted a Facebook live Q&A focused on coronavirus. Ardern implored New ...",https://www.youtube.com/watch?v=xMA6Gz82iiQ,2020-03-26T00:29:07Z,2020,3,26
