,channelId,channelTitle,videoId,vidoeTitle,description,link,time,year,month,day
0,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,8bUCwmYcvzY,Coronavirus: Boris Johnson orders UK lockdown to be enforced by police 鈥 watch live,"Boris Johnson will order police to enforce a strict coronavirus lockdown, with a ban on gatherings of more than two people and strict limits on exercise, as he told ...",https://www.youtube.com/watch?v=8bUCwmYcvzY,2020-03-23T23:41:58Z,2020,3,23
1,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,Ml-1hUISPj8,Coronavirus lockdown: Boris Johnson limits gatherings to two people in the UK,"The UK government has taken unprecedented steps to slow the spread of coronavirus. Boris Johnson addressed the British public in a pre-recorded statement, ...",https://www.youtube.com/watch?v=Ml-1hUISPj8,2020-03-23T21:16:44Z,2020,3,23
2,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,ZD4PYP6eayQ,Coronavirus lockdown in the UK: the dos and dont&#39;s,What are the rules for the Covid-19 lockdown in the UK? The Guardian political correspondent Peter Walker clarifies what we are and are not expected to do to ...,https://www.youtube.com/watch?v=ZD4PYP6eayQ,2020-03-24T19:07:29Z,2020,3,24
3,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,x5XT8H5PLzQ,Coronavirus: UK government holds briefing as lockdown expected to tighten 鈥 watch in full,The UK is expected to impose tighter restrictions to tackle the coronavirus outbreak as officials brief the nation.,https://www.youtube.com/watch?v=x5XT8H5PLzQ,2020-03-29T15:53:26Z,2020,3,29
4,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,x2axKYqLXso,"UK coronavirus lockdown expected for at least three more weeks, says Raab",Dominic Raab has announced that lockdown measures will not be relaxed in the UK. He said there was 'light at the end of the tunnel' but it was too early to ...,https://www.youtube.com/watch?v=x2axKYqLXso,2020-04-16T17:35:41Z,2020,4,16
5,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,RVHKA3BKpBo,Coronavirus: Dominic Raab holds daily briefing on virus outbreak 鈥 watch live,UK government officials and foreign secretary Dominic Raab are expected a daily briefing to update on the coronavirus outbreak and lockdown measures.,https://www.youtube.com/watch?v=RVHKA3BKpBo,2020-04-16T17:29:51Z,2020,4,16
6,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,CCOnQAmbDNc,"Coronavirus: UK now &#39;past the peak&#39;, says Boris Johnson","The UK was 'past the peak' of the coronavirus outbreak, said Boris Johnson in his first press conference since he contracted Covid-19. The prime minister added ...",https://www.youtube.com/watch?v=CCOnQAmbDNc,2020-04-30T17:45:48Z,2020,4,30
7,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,Y7hYnZnSliI,Coronavirus: Boris Johnson returns to daily briefing on the outbreak 鈥 watch live,"Boris Johnson is back at the daily UK briefings into the coronavirus outbreak, after recovering from catching the virus himself a month ago. Government officials ...",https://www.youtube.com/watch?v=Y7hYnZnSliI,2020-04-30T16:59:10Z,2020,4,30
8,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,WRs-dC-gmVk,Boris Johnson announces next phase in fight against coronavirus - watch live,"Boris Johnson announces the next phase of Britain's plan against coronavirus, including possible timetable of easing of restrictions. Subscribe to Guardian ...",https://www.youtube.com/watch?v=WRs-dC-gmVk,2020-05-10T19:20:52Z,2020,5,10
9,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,PPhf8LfrS_c,Boris Johnson鈥檚 address on next phase of coronavirus lockdown 鈥 watch in full,Boris Johnson has outlined the next stage of the UK's battle with coronavirus after heavy criticism of the government's new 'stay alert' guidance. Speaking in a ...,https://www.youtube.com/watch?v=PPhf8LfrS_c,2020-05-10T18:49:34Z,2020,5,10
