,channelId,channelTitle,videoId,vidoeTitle,description,link,time,year,month,day
0,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,40rDPWfJOQI,Venezuela: captured US mercenary describes failed plot to abduct Maduro,Luke Denman is shown on Venezuelan TV after being arrested. Denman was one of two American mercenaries apprehended after a failed attempt to topple ...,https://www.youtube.com/watch?v=40rDPWfJOQI,2020-05-06T23:34:23Z,2020,5,6
1,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,EDx7DsAcZ4s,Coronavirus: Trump’s press secretary Kayleigh McEnany holds briefing – watch live,White House Press Secretary Kayleigh McEnany holds an on-camera briefing.,https://www.youtube.com/watch?v=EDx7DsAcZ4s,2020-05-06T21:08:15Z,2020,5,6
2,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,o2ISK4bk1g0,Live and Let Die plays as Donald Trump visits mask factory without a mask,A cover of Live and Let Die by rock band Guns N' Roses played in the background as Donald Trump walked around the Honeywell plant making N95 masks in ...,https://www.youtube.com/watch?v=o2ISK4bk1g0,2020-05-06T18:42:45Z,2020,5,6
3,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,clx8s5SzNX4,Lifting coronavirus restrictions: &#39;strong preference&#39; UK move as one,"The UK government has a 'strong preference' that the country move as one when lifting coronavirus restrictions but measures might be reimposed locally, said ...",https://www.youtube.com/watch?v=clx8s5SzNX4,2020-05-06T18:06:47Z,2020,5,6
4,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,gGMFp5oNFDI,Coronavirus: WHO holds briefing on the outbreak – watch live,The World Health Organization holds briefing on the latest worldwide developments of the coronavirus outbreak.,https://www.youtube.com/watch?v=gGMFp5oNFDI,2020-05-06T17:23:27Z,2020,5,6
5,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,W6PHx02_YUk,Coronavirus: Robert Jenrick holds UK daily briefing – watch live,Government officials hold a daily briefing to update on the coronavirus outbreak in the United Kingdom.,https://www.youtube.com/watch?v=W6PHx02_YUk,2020-05-06T17:05:07Z,2020,5,6
6,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,z1nN12XGeig,Footage shows Venezuelan arrest of &#39;mercenary&#39; in alleged US incursion,"Thirteen men were arrested in Venezuela, of which two are believed to be US citizens after what the country's president, Nicolás Maduro, described a failed ...",https://www.youtube.com/watch?v=z1nN12XGeig,2020-05-06T16:56:39Z,2020,5,6
7,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,pIMIvQBWvFE,Coronavirus: New York governor Andrew Cuomo holds briefing on the outbreak – watch live,New York's Governor Andrew Cuomo provides a coronavirus update.,https://www.youtube.com/watch?v=pIMIvQBWvFE,2020-05-06T16:27:49Z,2020,5,6
8,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,cohpBp316i8,Keir Starmer faces off with Boris Johnson for first time during PMQs,Keir Starmer faced off with the Boris Johnson during prime minister's question time for the first time since his instatement as Labour leader. Starmer pushed the ...,https://www.youtube.com/watch?v=cohpBp316i8,2020-05-06T16:23:23Z,2020,5,6
9,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,yfhLkSEFEg8,PMQs: Boris Johnson faces Keir Starmer for first time – watch in full,Boris Johnson takes questions in parliament for the first time since returning to work after recovering from Covid-19.,https://www.youtube.com/watch?v=yfhLkSEFEg8,2020-05-06T12:18:16Z,2020,5,6
10,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,hzfZRas14sU,"Boris Johnson: aim is 200,000 coronavirus tests daily by end of May","Boris Johnson has said he wants to reach 200000 coronavirus targets per day by end of May. Responding to a question by the Labour leader, Keir Starmer, ...",https://www.youtube.com/watch?v=hzfZRas14sU,2020-05-06T12:16:31Z,2020,5,6
11,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,zdEBilRjcEI,Otters &#39;stone juggling&#39;:  new research looks into why,"Otters are often scene playing with pebbles, throwing and catching them, known as 'stone juggling' and researchers from the University of Exeter believe they ...",https://www.youtube.com/watch?v=zdEBilRjcEI,2020-05-06T10:33:05Z,2020,5,6
12,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,P3S9aJjvQww,Fire engulfs tower in the United Arab Emirates,"Fire engulfed a 48-storey high-rise in the United Arab Emirates on Tuesday, sending flames shooting into the night sky. Seven people were reportedly injured in ...",https://www.youtube.com/watch?v=P3S9aJjvQww,2020-05-06T10:10:36Z,2020,5,6
13,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,pi9hFOmhkYg,Trump tours battleground state Arizona while flagging wind down of coronavirus task force,US president Donald Trump said the White House coronavirus task force would wind down as the country moves into a second phase of dealing with the ...,https://www.youtube.com/watch?v=pi9hFOmhkYg,2020-05-06T03:11:58Z,2020,5,6
