,channelId,channelTitle,videoId,vidoeTitle,description,link,time,year,month,day
0,UCshwRhftzkiov5wKR7M_LsQ,The Independent,I9X4OFFg5vg,Live: Trial of George Floyd’s alleged killer Derek Chauvin begins,"The trial of Derek Chauvin, the former Minneapolis police officer accused of murdering George Floyd last May, will begin today in ...",https://www.youtube.com/watch?v=I9X4OFFg5vg,2021-03-29T22:07:00Z,2021,3,29
1,UCshwRhftzkiov5wKR7M_LsQ,The Independent,YeTr8EEtEFs,911 dispatcher says instincts told her ‘something was wrong’ during George Floyd arrest,"A 911 dispatcher in Minneapolis was the first witness to take the stand on Monday in the trial of Derek Chauvin, a former police ...",https://www.youtube.com/watch?v=YeTr8EEtEFs,2021-03-29T22:06:07Z,2021,3,29
2,UCshwRhftzkiov5wKR7M_LsQ,The Independent,zWFBe2AFl4g,"‘Derek Chauvin betrayed this badge,’ prosecutor says",Former police officer Derek Chauvin “betrayed his badge” when he knelt on George Floyd's neck for more than nine minutes as he ...,https://www.youtube.com/watch?v=zWFBe2AFl4g,2021-03-29T21:10:32Z,2021,3,29
3,UCshwRhftzkiov5wKR7M_LsQ,The Independent,vC9WnLxAo6I,Derek Chauvin defence claims: ‘There are always two sides to a story’,"The trial of Derek Chauvin, the former police officer accused of murdering George Floyd, is regarded as one of the most important ...",https://www.youtube.com/watch?v=vC9WnLxAo6I,2021-03-29T21:09:29Z,2021,3,29
4,UCshwRhftzkiov5wKR7M_LsQ,The Independent,buncpbApFFU,Boris Johnson ‘hopeful’ of no more Covid lockdowns,"Boris Johnson has said he is “hopeful” the current coronavirus lockdown will be the last, adding that there is nothing in the data at ...",https://www.youtube.com/watch?v=buncpbApFFU,2021-03-29T20:27:09Z,2021,3,29
5,UCshwRhftzkiov5wKR7M_LsQ,The Independent,9KtEfqV8Ozo,"Up to 60m doses of Novavax jab to be produced in UK, Johnson says","The government has signed an agreement for up to 60 million doses of a new coronavirus vaccine to be produced in UK, Boris ...",https://www.youtube.com/watch?v=9KtEfqV8Ozo,2021-03-29T20:13:58Z,2021,3,29
6,UCshwRhftzkiov5wKR7M_LsQ,The Independent,fjgfLvWADAo,Mummies and trophy heads discovered during police raid in Peru,"At least 4000 pre-Hispanic items were found during a police raid in a private home in Cusco, Peru, including mummies, trophy ...",https://www.youtube.com/watch?v=fjgfLvWADAo,2021-03-29T15:33:09Z,2021,3,29
7,UCshwRhftzkiov5wKR7M_LsQ,The Independent,yujqTlxS_Tk,Ever Given ship blocking Suez Canal set free,"The Ever Given ship, which has blocked the Suez Canal for six days now, has been successfully refloated and is “no longer ...",https://www.youtube.com/watch?v=yujqTlxS_Tk,2021-03-29T15:08:25Z,2021,3,29
8,UCshwRhftzkiov5wKR7M_LsQ,The Independent,HXEwOy9tSPg,Outdoor sports and socialising resume as England’s lockdown eases,Covid-19 restrictions in England are being eased— more than three months after the country was plunged into its third lockdown.,https://www.youtube.com/watch?v=HXEwOy9tSPg,2021-03-29T14:16:22Z,2021,3,29
9,UCshwRhftzkiov5wKR7M_LsQ,The Independent,rzbhxcsNBkc,Hundreds flee village after Indonesia oil refinery fire sparks mass evacuation,At least 500 people were being evacuated from a nearby village after a massive fire broke out at the Pertamina Balongan Refinery ...,https://www.youtube.com/watch?v=rzbhxcsNBkc,2021-03-29T10:32:27Z,2021,3,29
10,UCshwRhftzkiov5wKR7M_LsQ,The Independent,MVUPlG7i_xg,Container ship stuck in Suez Canal ‘partially refloated’,"A huge container ship has finally been refloated after almost a week blocking the Suez Canal, according to reports. The Ever ...",https://www.youtube.com/watch?v=MVUPlG7i_xg,2021-03-29T09:50:37Z,2021,3,29
11,UCshwRhftzkiov5wKR7M_LsQ,The Independent,0K-MoByzmM0,England&#39;s lockdown rules eased from today,"England is taking its first big step out of lockdown with the return of outdoor family get-togethers and sport, but with a warning that ...",https://www.youtube.com/watch?v=0K-MoByzmM0,2021-03-29T08:23:18Z,2021,3,29
