index_label,channelId,channelTitle,videoId,year,month,day,vidoeTitle,description,link,time
0,UCshwRhftzkiov5wKR7M_LsQ,The Independent,lj3oPN07ujs,2020,3,23,Boris Johnson announces nationwide lockdown to tackle coronavirus,Prime minister Boris Johnson has imposed an unprecedented three-week nationwide lockdown across the UK in an attempt to ...,https://www.youtube.com/watch?v=lj3oPN07ujs,2020-03-23T21:15:23Z
1,UCshwRhftzkiov5wKR7M_LsQ,The Independent,z9h6jTl-Au4,2020,3,24,How the government has responded to coronavirus,"Described by Boris Johnson as 'the worst public health crisis for a generation,' thousands of positive cases of coronavirus have ...",https://www.youtube.com/watch?v=z9h6jTl-Au4,2020-03-24T19:25:43Z
2,UCshwRhftzkiov5wKR7M_LsQ,The Independent,615VXOwV__M,2020,3,12,Boris Johnson gives an update on the UK&#39;s coronavirus response,,https://www.youtube.com/watch?v=615VXOwV__M,2020-03-12T17:53:43Z
3,UCshwRhftzkiov5wKR7M_LsQ,The Independent,mmRT8fKxstk,2020,3,16,Boris Johnson is about to announce new coronavirus measures,Prime minister Boris Johnson is expected to announce new coronavirus measures today following an emergency Cobra meeting ...,https://www.youtube.com/watch?v=mmRT8fKxstk,2020-03-16T18:57:11Z
4,na,na,na,na,na,na,na,na,na,na
5,na,na,na,na,na,na,na,na,na,na
6,na,na,na,na,na,na,na,na,na,na
7,UCshwRhftzkiov5wKR7M_LsQ,The Independent,BRu2m5G2q-4,2020,4,5,Queen Elizabeth Addresses The UK About The Coronavirus Pandemic,"The Queen has said the UK ""will succeed"" in its fight against the coronavirus pandemic but acknowledged there may be ""more to ...",https://www.youtube.com/watch?v=BRu2m5G2q-4,2020-04-05T19:08:16Z
8,UCshwRhftzkiov5wKR7M_LsQ,The Independent,1VRIajS2JjA,2020,5,10,Boris Johnson tweaks coronavirus lockdown restrictions and warns UK to ‘stay alert’,"Boris Johnson has announced now is not the time to end the coronavirus lockdown, telling the British public to “stay alert” to the ...",https://www.youtube.com/watch?v=1VRIajS2JjA,2020-05-10T19:14:34Z
9,UCshwRhftzkiov5wKR7M_LsQ,The Independent,4pUGJ2fQcJA,2020,6,1,Huge queues for Ikea as stores reopen in England and Northern Ireland,Thousands of customers queued for hours in searing heat to have the chance to shop inside an Ikea store for the first time since ...,https://www.youtube.com/watch?v=4pUGJ2fQcJA,2020-06-01T15:22:40Z
10,UCshwRhftzkiov5wKR7M_LsQ,The Independent,cVVuHcNKXzg,2020,5,24,Boris Johnson announces schools will reopen on 1 June,"The partial reopening of primary schools will go ahead as planned on 1 June as part of phase 2 of the lockdown exit strategy, ...",https://www.youtube.com/watch?v=cVVuHcNKXzg,2020-05-24T16:44:10Z
11,UCshwRhftzkiov5wKR7M_LsQ,The Independent,Qvt_EiemIyw,2020,5,25,Coronavirus: UK non-essential shops to open from June 15,"Outdoor markets and car showrooms across England can reopen from 1 June and all other non-essential retail, including high ...",https://www.youtube.com/watch?v=Qvt_EiemIyw,2020-05-25T18:32:55Z
12,UCshwRhftzkiov5wKR7M_LsQ,The Independent,xlVCswY_oik,2020,6,15,Huge queues as non-essential shops re-open across England,Consumers have wasted no time in heading back to the shops with “enormous” queues being spotted outside Primark stores ...,https://www.youtube.com/watch?v=xlVCswY_oik,2020-06-15T12:15:47Z
13,UCshwRhftzkiov5wKR7M_LsQ,The Independent,KuUw4gP19u4,2020,6,23,England eases restrictions on meeting indoors,"Family and friends will be allowed to meet in indoor gatherings in homes, pubs and restaurants from 4 July, so long as they ...",https://www.youtube.com/watch?v=KuUw4gP19u4,2020-06-23T12:09:54Z
14,UCshwRhftzkiov5wKR7M_LsQ,The Independent,h0Xy6GngL2U,2020,6,29,Matt Hancock announces lockdown to be extended in Leicester,Schools and non-essential shops are to close again in Leicester after the government ordered the first local lockdown against ...,https://www.youtube.com/watch?v=h0Xy6GngL2U,2020-06-29T21:07:00Z
15,UCshwRhftzkiov5wKR7M_LsQ,The Independent,uJvf-Qm8t-4,2020,6,23,Social distancing rule reduced to one metre in England,"Pubs, restaurants, cinemas and hotels can reopen in England from 4 July, when the two-metre social distancing rule will be ...",https://www.youtube.com/watch?v=uJvf-Qm8t-4,2020-06-23T11:58:17Z
16,UCshwRhftzkiov5wKR7M_LsQ,The Independent,LyiUHxD3S8s,2020,9,14,Coronavirus: UK government&#39;s &#39;rule of six&#39; explained,"Most social gatherings of more than six people are now banned in the UK, in an attempt by the Government to curb the spike of ...",https://www.youtube.com/watch?v=LyiUHxD3S8s,2020-09-14T11:42:28Z
17,UCshwRhftzkiov5wKR7M_LsQ,The Independent,MHmsSnNQDCQ,2020,9,22,Boris Johnson threatens further coronavirus restrictions if new measures aren&#39;t followed,"Boris Johnson has warned there are “unquestionably difficult months to come” in the UK's fight against coronavirus, warning that ...",https://www.youtube.com/watch?v=MHmsSnNQDCQ,2020-09-22T19:27:53Z
18,UCshwRhftzkiov5wKR7M_LsQ,The Independent,bkoh0EZVfNE,2020,9,30,Boris Johnson appears to blame local lockdowns on public not following rules,Boris Johnson has suggested areas are failing to escape local lockdowns because people are breaking the rules. Only Luton – of ...,https://www.youtube.com/watch?v=bkoh0EZVfNE,2020-09-30T12:26:02Z
19,UCshwRhftzkiov5wKR7M_LsQ,The Independent,NBlnMOguBhs,2020,9,30,Speaker accuses Boris Johnson of &#39;contempt&#39; for parliament during coronavirus pandemic,"Boris Johnson has avoided potential defeat in the House of Commons over emergency coronavirus powers, but was rebuked by ...",https://www.youtube.com/watch?v=NBlnMOguBhs,2020-09-30T12:12:19Z
20,UCshwRhftzkiov5wKR7M_LsQ,The Independent,BwvhqUI44Vk,2020,10,13,Boris Johnson announces three-tier Covid-19 restriction system,All you need to know as Prime Minister Boris Johnson announces new Covid-19 restrictions alongside Professor Chris Whitty and ...,https://www.youtube.com/watch?v=BwvhqUI44Vk,2020-10-13T07:14:27Z
21,UCshwRhftzkiov5wKR7M_LsQ,The Independent,1b4QPMWAHCU,2020,10,13,"Normal Christmas &#39;depends on our success&#39; of controlling coronavirus, warns Boris Johnson",Prime minister Boris Johnson said whether a relatively normal Christmas is possible depends on the public sticking to his ...,https://www.youtube.com/watch?v=1b4QPMWAHCU,2020-10-13T08:53:40Z
22,UCshwRhftzkiov5wKR7M_LsQ,The Independent,v_g5KMgLzAE,2020,10,31,Boris Johnson announces second national coronavirus lockdown for England,"A four-week lockdown will be imposed across all of England on 5 November, closing pubs, restaurants and non-essential shops ...",https://www.youtube.com/watch?v=v_g5KMgLzAE,2020-10-31T19:54:31Z
23,UCshwRhftzkiov5wKR7M_LsQ,The Independent,T7BIx3QSNao,2020,10,31,Boris Johnson is considering a national lockdown in England from next week,"UK Prime Minister Boris Johnson is considering a second national lockdown to save Christmas, after the publication of scientific ...",https://www.youtube.com/watch?v=T7BIx3QSNao,2020-10-31T02:39:23Z
24,UCshwRhftzkiov5wKR7M_LsQ,The Independent,pRJtMemw7xA,2020,11,4,MPs approve strict new lockdown rules for England,"England is to go into a four-week lockdown from midnight tonight, after MPs approved Boris Johnson's plan for tougher ...",https://www.youtube.com/watch?v=pRJtMemw7xA,2020-11-04T17:53:58Z
25,UCshwRhftzkiov5wKR7M_LsQ,The Independent,uvOOrCpbH5s,2020,11,6,All you need to know from Boris Johnson&#39;s latest lockdown briefing,"Speaking as England entered its second national lockdown, Boris Johnson repeated his intention to ease restrictions on 2 ...",https://www.youtube.com/watch?v=uvOOrCpbH5s,2020-11-06T09:22:29Z
26,UCshwRhftzkiov5wKR7M_LsQ,The Independent,2deC7eBfGvM,2020,12,16,Boris Johnson urges public to show &#39;extreme caution&#39; over the Christmas period,Boris Johnson has also urged the public to show “extreme caution” over the festive season as he faced accusations his ...,https://www.youtube.com/watch?v=2deC7eBfGvM,2020-12-16T12:54:38Z
27,UCshwRhftzkiov5wKR7M_LsQ,The Independent,4TaeBbuwWA8,2020,12,16,Wales to bring in tighter coronavirus restrictions after Christmas,All non-essential shops will be forced to close in Wales after Christmas Eve while tighter lockdown restrictions for household ...,https://www.youtube.com/watch?v=4TaeBbuwWA8,2020-12-16T15:54:08Z
28,UCshwRhftzkiov5wKR7M_LsQ,The Independent,C1kcPhkMDUY,2020,12,19,Live: Boris Johnson holds press conference amid rising Covid infections,Boris Johnson is holding a press conference amid rising coronavirus infections. The UK prime minister is expected to announce a ...,https://www.youtube.com/watch?v=C1kcPhkMDUY,2020-12-19T16:55:20Z
29,UCshwRhftzkiov5wKR7M_LsQ,The Independent,PozjtaHq9RE,2020,12,19,"New coronavirus strain &#39;up to 70% more transmissible&#39;, says Johnson","The new strain of coronavirus recently identified in England is up to 70 per cent more transmissible, prime minister Boris Johnson ...",https://www.youtube.com/watch?v=PozjtaHq9RE,2020-12-19T16:49:55Z
30,UCshwRhftzkiov5wKR7M_LsQ,The Independent,x9Q5n9KH_n0,2020,12,21,Live: Boris Johnson holds emergency Covid press conference,"British Prime Minister Boris Johnson delivers a statement after chairing a COBRA meeting, which was called in response to ...",https://www.youtube.com/watch?v=x9Q5n9KH_n0,2020-12-21T17:40:42Z
31,UCshwRhftzkiov5wKR7M_LsQ,The Independent,_5fwUlnD9TU,2020,12,24,Coronavirus tiers map: Millions more to enter Tier 4 on Boxing Day,"A breakdown of which areas are in what tier of coronavirus restrictions, and what that means, as millions more in the South East of ...",https://www.youtube.com/watch?v=_5fwUlnD9TU,2020-12-24T09:41:43Z
32,UCshwRhftzkiov5wKR7M_LsQ,The Independent,lpqICwDs6cI,2021,1,4,Live: Boris Johnson sets out new Covid lockdown measures,British Prime Minister Boris Johnson sets out further measures to try to control the rising spread in cases from the new variant of ...,https://www.youtube.com/watch?v=lpqICwDs6cI,2021-01-04T20:12:04Z
33,UCshwRhftzkiov5wKR7M_LsQ,The Independent,w974VCOfylw,2021,1,6,Watch again: Boris Johnson addresses MPs before vote on new lockdown,Boris Johnson has confirmed that the end of lockdown may be delayed beyond mid-February. Announcing England's third ...,https://www.youtube.com/watch?v=w974VCOfylw,2021-01-06T16:55:01Z
34,UCshwRhftzkiov5wKR7M_LsQ,The Independent,6YPZp8bj0C8,2021,2,15,Inside a quarantine hotel on Heathrow&#39;s &#39;Isolation Row&#39;,"The Independent's travel correspondent Simon Calder spent a night in one of Heathrow Airport's quarantine hotels, to get a feel ...",https://www.youtube.com/watch?v=6YPZp8bj0C8,2021-02-15T12:24:30Z
