index_label,channelId,channelTitle,videoId,year,month,day,vidoeTitle,description,link,time
0,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,-Lfy5GcJkNk,2020,3,20,Matt Hancock warns everyone will have to lockdown longer if UK doesn&#39;t take it seriously,Matt Hancock warns everyone will have to lockdown longer if UK doesn't take it seriously. The Health Minister said the ...,https://www.youtube.com/watch?v=-Lfy5GcJkNk,2020-03-20T11:14:12Z
1,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,FqDo_QWoqtE,2020,3,25,PM Boris Johnson daily briefing on coronavirus - Replay,PM Boris Johnson says 405000 people have signed up to be volunteers to help NHS fight coronavirus. Tuesday's press ...,https://www.youtube.com/watch?v=FqDo_QWoqtE,2020-03-25T17:36:27Z
2,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,Pu4GWu3cMec,2020,3,25,"Police fury at sunbathers, &#39;this is not a holiday it&#39;s a LOCKDOWN&#39;","UK police officers reminding people of the lockdown measures to stop the spread of coronavirus in Shephard's Bush, London.",https://www.youtube.com/watch?v=Pu4GWu3cMec,2020-03-25T10:12:59Z
3,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,iM6onBpOPUE,2020,3,26,Brits applaud NHS frontline healthcare workers nationwide,The UK banded together for nationwide applause in appreciation of the frontline NHS workers on the of the Covid-19 epidemic.,https://www.youtube.com/watch?v=iM6onBpOPUE,2020-03-26T20:14:37Z
4,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,bYA3iTt0Shw,2020,4,16,"COVID-19 lockdown will continue for at least three weeks as UK coronavirus deaths rise to 13,729",Britain will stay in COVID-19 lockdown for another three weeks until five key tests are met to avoid a devastating second ...,https://www.youtube.com/watch?v=bYA3iTt0Shw,2020-04-16T16:49:00Z
5,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,Cr5A7Q_MruU,2020,4,16,Coronavirus Explained: why the UK COVID-19 lockdown is here to stay until at least May,The UK lockdown looks set to continue at least until May as the government prepares to extend measures put in place to limit the ...,https://www.youtube.com/watch?v=Cr5A7Q_MruU,2020-04-16T15:15:01Z
6,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,8zGQMzs_ows,2020,4,30,Boris Johnson says UK past the peak and promises to reveal coronavirus lockdown exit plan next week,"Boris Johnson promised an extensive plan to end the lockdown would come next week - as Britain is now ""past the peak"" of the ...",https://www.youtube.com/watch?v=8zGQMzs_ows,2020-04-30T17:00:36Z
7,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,DmeQSrTAXac,2020,4,30,"UK COVID-19 death toll 26,711 second to US while government falls 20,000 short of testing target",BORIS Johnson has tonight admitted the government is almost 20000 coronavirus tests short of its target - as the deadline for ...,https://www.youtube.com/watch?v=DmeQSrTAXac,2020-04-30T18:30:02Z
8,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,TPAHsgwEvsU,2020,5,10,Boris Johnson lays out key changes to UK Covid-19 lockdown rules,"Coronavirus update - Prime Minister Boris Johnson laid out the ""first careful steps"" of easing the coronavirus lockdown as part of a ...",https://www.youtube.com/watch?v=TPAHsgwEvsU,2020-05-10T19:47:30Z
9,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,AMRYSm54SKk,2020,5,10,In full: Boris Johnson reveals changes to UK Coronavirus lockdown,"Boris Johnson announces the next phase of Britain's plan against coronavirus, including a possible timetable of easing of ...",https://www.youtube.com/watch?v=AMRYSm54SKk,2020-05-10T18:31:47Z
10,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,V1jqlU6pTE0,2020,5,10,&#39;Stay alert&#39; - Government attempts to explain confusing new coronavirus slogan,Communities Secretary Robert Jenrick attempts to explain confusing new coronavirus slogan. Boris Johnson will unveil a ...,https://www.youtube.com/watch?v=V1jqlU6pTE0,2020-05-10T10:01:46Z
11,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,IlLrVsnLkzc,2020,5,28,Boris Johnson on easing of lockdown if 5 key tests are finally met at COVID-19 daily briefing,Boris Johnson is set to confirm the easing of Britain's lockdown - if the five tests are finally met. The Prime Minister and his top ...,https://www.youtube.com/watch?v=IlLrVsnLkzc,2020-05-28T16:57:52Z
12,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,PMjTS-4WFLA,2020,6,15,Scuffles break out as shoppers push and shove into Nike store as High Streets reopen for business,"HUNDREDS of shoppers have pushed and shoved their way into a Nike store in Oxford Street, London, in a social distancing ...",https://www.youtube.com/watch?v=PMjTS-4WFLA,2020-06-15T13:11:02Z
13,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,wOgc9g9iNlY,2020,6,23,COVID-19: Boris Johnson ends lockdown as pubs to open &amp; overnight stays allowed from July 4th,"BORIS Johnson today dramatically announced the end of most of the lockdown measures in England - slashing the 2m rule, ...",https://www.youtube.com/watch?v=wOgc9g9iNlY,2020-06-23T14:00:15Z
14,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,6LUxrhF1W38,2020,6,29,Matt Hancock announces Leicester to stay in lockdown with non-essential shops and pubs to stay shut,Leicester has been ordered to remain in lockdown for another two weeks after a local spike in coronavirus numbers. Health ...,https://www.youtube.com/watch?v=6LUxrhF1W38,2020-06-29T22:10:42Z
