,channelId,channelTitle,videoId,vidoeTitle,description,link,time,year,month,day
0,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,BHRLbG9X1hc,US stock markets plunge despite Fed move to cut interest rates to nearly zero  - LIVE,The Dow Jones Industrial Average (DJIA) crashed deeper into bear market territory. The US stock market plunged at the opening ...,https://www.youtube.com/watch?v=BHRLbG9X1hc,2020-03-16T23:57:00Z,2020,3,16
1,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,wTC8-og9W3Q,PM Boris Johnson tells 1.4m they must stay home for 12 WEEKS - REPLAY,British Prime Minister announces measuress Britain will take to tackle coronavirus. Read more UK now in DELAY phase as ...,https://www.youtube.com/watch?v=wTC8-og9W3Q,2020-03-16T18:58:55Z,2020,3,16
2,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,b-ZQYBYVLNs,Brit trapped in Spain coronavirus lockdown worries how he will get home to the UK,Brit trapped in Spain coronavirus lockdown worries about getting home to the UK. THOUSANDS of Brits are stranded in Spain ...,https://www.youtube.com/watch?v=b-ZQYBYVLNs,2020-03-16T18:06:12Z,2020,3,16
3,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,aL9kC6WNpoA,PM Boris asks Brits to stop &#39;non-essential contact&#39; and work from home as coronavirus cases rise,"Boris Johnson said that we are approaching the 'fast growth part' of the coronavirus spread upward curve. He asks that: ""People ...",https://www.youtube.com/watch?v=aL9kC6WNpoA,2020-03-16T17:25:16Z,2020,3,16
4,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,WJwyatHndSo,European Commission bans non essential travel to EU for 30 days to combat Coronavirus,Euro Commission bans entry into the 26-state Schengen zone for any non-Eu travellers for 30 days. From Brexit breaking news to ...,https://www.youtube.com/watch?v=WJwyatHndSo,2020-03-16T15:39:43Z,2020,3,16
5,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,EZul4rsiH6A,Brits head to work and school as usual despite Europe-wide coronavirus lockdown,The UK government has shown courage in backing it's experts in the face of immense political pressure to fall into line with ...,https://www.youtube.com/watch?v=EZul4rsiH6A,2020-03-16T13:13:09Z,2020,3,16
6,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,REdCXyIxlok,What coronavirus does to your body and how to beat it,"ANYONE can be infected by the new strain of coronavirus spreading in the UK, experts have warned. While older Brits and those ...",https://www.youtube.com/watch?v=REdCXyIxlok,2020-03-16T11:14:03Z,2020,3,16
7,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,QeT6aHYMHd4,Joe Biden vows to select a woman Vice President and appoint a black woman on the Supreme Court,JOE Biden committed to picking a woman as his running mate during a heated Democratic debate on Sunday with rival Bernie ...,https://www.youtube.com/watch?v=QeT6aHYMHd4,2020-03-16T10:19:00Z,2020,3,16
8,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,g4iZ-8yWt0g,Coronavirus daily: troops preparing to help tackle COVID 19 as schools and Tube stations close,"BRITAIN can send coronavirus ""packing"" in just 12 weeks if we all follow strict new rules, Boris Johnson vowed today.",https://www.youtube.com/watch?v=g4iZ-8yWt0g,2020-03-19T19:31:02Z,2020,3,19
9,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,kzeBsTuOU1E,PM Boris Johnson says we can &#39;turn tide in 12 weeks&#39; and can send Covid-19 &#39;packing&#39; - Replay,Boris Johnson says we can 'turn the tide in 12 weeks' and can send Covid-19 'packing'. Prime Minister Boris Johnson and ...,https://www.youtube.com/watch?v=kzeBsTuOU1E,2020-03-19T18:39:59Z,2020,3,19
10,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,BdzfSsIhbHA,President Trump on new medical measures to overcome coronavirus - REPLAY,PRESIDENT Donald Trump said the FDA has approved new Covid-19 fighting drugs available for prescription immediately as US ...,https://www.youtube.com/watch?v=BdzfSsIhbHA,2020-03-19T17:01:56Z,2020,3,19
11,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,HKmbh5mamlo,MPs and government health experts discuss new legislation over coronavirus outbreak - REPLAY,Urgent question expected in British Parliament on employment support during the coronavirus outbreak. This is expected to be ...,https://www.youtube.com/watch?v=HKmbh5mamlo,2020-03-19T16:37:55Z,2020,3,19
12,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,asQ8KFrZY84,&quot;Why I left the left&quot; Melanie Phillips on why she left the Guardian - BQ #13,"Former Guardian writer Melanie Phillips describes her journey from ""fantasy to reality"" on why she left the political left. Phillips is ...",https://www.youtube.com/watch?v=asQ8KFrZY84,2020-03-19T15:00:11Z,2020,3,19
13,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,AGO1sqKXrOk,Young people may suffer severe cases of Covid-19 even if they&#39;re fit and healthy,"Coronavirus is beyond the point of containment and is 'not a trivial infection even if you're young' government experts, Chris ...",https://www.youtube.com/watch?v=AGO1sqKXrOk,2020-03-19T14:10:07Z,2020,3,19
14,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,CbBM-rkcVKI,“Scary” Brit flown back from Spain describes coronavirus lockdown,A British holidaymaker Daniel Hall was flown back from Spain last night after the country declared all hotels would close within 24 ...,https://www.youtube.com/watch?v=CbBM-rkcVKI,2020-03-19T13:08:33Z,2020,3,19
15,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,orQWWX3d46Y,China reports NO fresh coronavirus cases in epicentre Wuhan or Hubei,CHINA reported NO fresh coronavirus cases in the epicentre Wuhan or surrounding Hubei province on Wednesday - signalling ...,https://www.youtube.com/watch?v=orQWWX3d46Y,2020-03-19T11:36:37Z,2020,3,19
16,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,SzKJIXEks7E,Prince William says the ‘day he dreaded most’ has come with coronavirus,PRINCE William has become the first member of the royal family to address coronavirus as he launches an appeal to help those ...,https://www.youtube.com/watch?v=SzKJIXEks7E,2020-03-19T00:49:55Z,2020,3,19
17,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,rLidNUtRKss,Coronavirus daily: Boris Johnson locks down UK after Brits flout social distancing advice,BORIS Johnson tonight drastically locked down Britain in the most desperate bid yet to halt the coronavirus spread. In a massive ...,https://www.youtube.com/watch?v=rLidNUtRKss,2020-03-23T21:41:13Z,2020,3,23
18,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,G-1tmAQFE8U,PM Boris Johnson announces closure of most shops and stronger police powers - Replay,PM Boris Johnson announces closure of most shops and stronger police powers to quash the coronavirus outbreak in the United ...,https://www.youtube.com/watch?v=G-1tmAQFE8U,2020-03-23T20:42:44Z,2020,3,23
19,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,ss-F262IUbY,MPs and government health experts discuss new legislation over coronavirus outbreak - Replay,British Parliament discusses new legislation over coronavirus outbreak and employment support during the coronavirus outbreak.,https://www.youtube.com/watch?v=ss-F262IUbY,2020-03-23T20:07:27Z,2020,3,23
20,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,L3AmiyETZSI,&#39;Don&#39;t be greedy&#39; Self-isolated MP gives coronavirus advice,"Tory MP Andrew Bridgen, who suffered coronavirus style symptoms, gives his advice to people who may get the virus. Bridgen ...",https://www.youtube.com/watch?v=L3AmiyETZSI,2020-03-23T19:00:05Z,2020,3,23
21,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,JrLyIj20pjI,Commuters squeeze onto packed trains - Employers force workers to defy coronavirus distancing rules,UNDERGROUND trains were packed this morning - as it's claimed some employees are being forced to go to work by their ...,https://www.youtube.com/watch?v=JrLyIj20pjI,2020-03-23T16:27:00Z,2020,3,23
