,channelId,channelTitle,videoId,vidoeTitle,description,link,time,year,month,day
0,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,IsmnlVIxD6o,Coronavirus: Trump updates reporters at daily briefing with US task force,Donald Trump holds the daily US coronavirus task force briefing Subscribe to Guardian News on YouTube ▻ http://bit.ly/guardianwiressub Coronavirus – latest ...,https://www.youtube.com/watch?v=IsmnlVIxD6o,2020-03-24T23:52:51Z,2020,3,24
1,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,V9aCKX6awHg,&#39;It&#39;s not a holiday&#39;: police disperse sunbathers in London during coronavirus lockdown,The Metropolitan Police has released footage of officers clearing Sheperd's Bush Green in London of sunbathers on the first day of the UK-wide coronavirus ...,https://www.youtube.com/watch?v=V9aCKX6awHg,2020-03-24T21:56:04Z,2020,3,24
2,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,ZD4PYP6eayQ,Coronavirus lockdown in the UK: the dos and dont&#39;s,What are the rules for the Covid-19 lockdown in the UK? The Guardian political correspondent Peter Walker clarifies what we are and are not expected to do to ...,https://www.youtube.com/watch?v=ZD4PYP6eayQ,2020-03-24T19:07:29Z,2020,3,24
3,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,Nd0siJpru4Y,"Coronavirus: from bingo to ballet, communities connect despite lockdown",People across the world have been finding innovative ways of staying connected and keeping fit as more and more countries introduce lockdown measures to ...,https://www.youtube.com/watch?v=Nd0siJpru4Y,2020-03-24T18:50:07Z,2020,3,24
4,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,Nd7LaioTOMs,"Coronavirus: Matt Hancock calls for 250,000 volunteers to help NHS","The health secretary, Matt Hancock, has announced a new scheme to recruit 250000 volunteers to support people who are unable to leave their homes during ...",https://www.youtube.com/watch?v=Nd7LaioTOMs,2020-03-24T18:10:41Z,2020,3,24
5,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,4d8gjTDkeGc,Coronavirus: Matt Hancock holds UK briefing – watch in full,Health secretary Matt Hancock conducts a daily government briefing to update on the coronavirus outbreak in the United Kingdom.,https://www.youtube.com/watch?v=4d8gjTDkeGc,2020-03-24T17:57:52Z,2020,3,24
6,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,KMp4WtHzztg,Spanish nurses cheer as their first Covid-19 patient is discharged from field hospital,Applause rang out at the emergency field hospital at the Ifema exhibition centre in Madrid as nurses said farewell to the first coronavirus patient to be given the ...,https://www.youtube.com/watch?v=KMp4WtHzztg,2020-03-24T17:39:14Z,2020,3,24
7,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,vrLCo3bRNQE,MPs discuss consequences of government measures to combat coronavirus – watch live,Rishi Sunak is expected to answer questions in parliament the day after Boris Johnson announced new stringent measures to combat the spread of coronavirus ...,https://www.youtube.com/watch?v=vrLCo3bRNQE,2020-03-24T16:32:28Z,2020,3,24
8,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,ZvT_iVfa8Js,London Underground packed as services cut to curb Covid-19 spread,Carriages and stations appeared crowded in footage shared on social media on Tuesday morning as Transport for London closed a number of stations and ...,https://www.youtube.com/watch?v=ZvT_iVfa8Js,2020-03-24T10:42:58Z,2020,3,24
9,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,OJLQ4EXL6EI,Police clear Rio&#39;s Copacabana beach after coronavirus lockdown,Rio de Janeiro's Copacabana beach has been left empty after it was closed by Brazilian authorities to halt the spread of coronavirus. Police have been asking ...,https://www.youtube.com/watch?v=OJLQ4EXL6EI,2020-03-24T08:31:42Z,2020,3,24
10,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,fAov_DN77QM,Coronavirus: Trump jokes with health official who mentions her &#39;low grade fever&#39;,US President Donald Trump jokingly moved away from White House coronavirus task force response coordinator Dr Deborah Birx after she mentioned her 'low ...,https://www.youtube.com/watch?v=fAov_DN77QM,2020-03-24T07:32:41Z,2020,3,24
11,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,ZBylyNbHkcQ,Donald Trump dismisses coronavirus as a &#39;purely medical problem&#39;,"Despite a rising death toll, US president Donald Trump vows to 'open up our country' in a matter of weeks, not months, as the coronavirus crisis hits the economy ...",https://www.youtube.com/watch?v=ZBylyNbHkcQ,2020-03-24T03:43:59Z,2020,3,24
12,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,nmk3Jjd0940,UK government plans emergency coronavirus legislation – watch live,The UK government puts in emergency legislation in order to deal with the ongoing coronavirus pandemic.,https://www.youtube.com/watch?v=nmk3Jjd0940,2020-03-24T02:47:00Z,2020,3,24
13,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,9UttsJign3U,Coronavirus:  US task force – watch live,The latest news from US on how they are tackling the coronavirus pandemic.,https://www.youtube.com/watch?v=9UttsJign3U,2020-03-24T02:27:09Z,2020,3,24
14,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,0rX0Ma8JsnE,Five-metre albino Burmese python captured from suburban Gold Coast home,"This giant albino Burmese python, believed to be over five metres in length and weighing more than 80kg, is captured at a home in Oxenford, Queensland, on 22 ...",https://www.youtube.com/watch?v=0rX0Ma8JsnE,2020-03-24T01:10:32Z,2020,3,24
