,channelId,channelTitle,videoId,vidoeTitle,description,link,time,year,month,day
0,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,PFcDP6EhYtA,"Anti-war protesters rally in several US states after Iranian general, Qasem Soleimani, killed","Protesters have taken to the streets of several US cities, including Chicago, New York and Atlanta, to campaign against war with ...",https://www.youtube.com/watch?v=PFcDP6EhYtA,2020-01-05T15:54:53Z,2020,1,5
1,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,rYd-tmZ9mCI,Iran vows revenge as it unfurls red flag of WAR after America executed General Soleimani,IRAN pinpointed 35 'key US targets' as it unfurled a red flag of revenge after its top general was assassinated in a US drone strike.,https://www.youtube.com/watch?v=rYd-tmZ9mCI,2020-01-04T17:38:53Z,2020,1,4
2,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,OrRRARERv0A,President Donald Trump tells cheering evangelicals the Iranian general&#39;s &#39;bloody rampage&#39; is over,Donald Trump addressed thousands of cheering evangelical supporters at the King Jesus International Ministry megachurch in ...,https://www.youtube.com/watch?v=OrRRARERv0A,2020-01-04T14:56:09Z,2020,1,4
3,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,Ge7qhzOgqg8,Killed Iranian general - Thousands of angry mourners chant &#39;death to America&#39; at funeral procession,THOUSANDS of mourners chanting 'death to America' mobbed a funeral procession for Iran's top general and other militia killed ...,https://www.youtube.com/watch?v=Ge7qhzOgqg8,2020-01-04T10:02:50Z,2020,1,4
4,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,O7Yj9pnOUP8,‘We’ll eliminate you’: Donald Trump says ‘we terminated Iran general to stop a war not start one’,"Donald Trump insisted the US bombed a top Iran general to ""stop a war"" - as the US fears revenge attacks in major cities.",https://www.youtube.com/watch?v=O7Yj9pnOUP8,2020-01-03T20:53:59Z,2020,1,3
5,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,-mMKOyHoUPM,Mitch McConnell on Trump&#39;s &#39;least fair&#39; impeachment and the killing of &#39;Iran&#39;s master terrorist’,"Mitch McConnell took to the floor of congress to talk about the killing of 'Iran's master terrorist', Iranian general Qasem Soleimani, ...",https://www.youtube.com/watch?v=-mMKOyHoUPM,2020-01-03T19:22:19Z,2020,1,3
6,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,CO7tolyzasY,Knifeman ‘in suicide vest&#39; shot dead after killing one and stabbing several others in Paris park,"A knifeman ""in a suicide vest"" has killed one person following a bloody rampage in a Paris park today. The attacker, who was not ...",https://www.youtube.com/watch?v=CO7tolyzasY,2020-01-03T16:13:04Z,2020,1,3
7,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,sErhMufTJ3Q,Qasem Soleimani dead - Flags burned as world responds to US killing of Iran general,DONALD Trump taunted Iran today by saying General Qasem Soleimani should have been 'taken out many years ago' on Twitter.,https://www.youtube.com/watch?v=sErhMufTJ3Q,2020-01-03T14:49:25Z,2020,1,3
8,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,sshsNEhMKbM,US kills Iranian general in rocket strike at Baghdad airport as countries stand on brink of war,A US airstrike killed a powerful Iranian general at Baghdad airport on Friday - as the two countries stand on the brink of war.,https://www.youtube.com/watch?v=sshsNEhMKbM,2020-01-03T07:39:01Z,2020,1,3
9,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,fC1D7trKKa4,Australian PM Scott Morrison told to &#39;p*** off&#39; as he’s heckled by furious bushfire victims,"AUSSIE PM Scott Morrison was branded an ""idiot"" and was told to ""p*** off"" as he was heckled by furious residents of a town ...",https://www.youtube.com/watch?v=fC1D7trKKa4,2020-01-02T16:32:18Z,2020,1,2
10,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,W_KomJUoKv4,US troops head to Middle East as Donald Trump says Iran will ‘pay price’ for Baghdad embassy riots,"THE FIRST wave of 750 US paratroopers has been deployed to Kuwait after Donald Trump warned Iran will ""pay a very big price"" ...",https://www.youtube.com/watch?v=W_KomJUoKv4,2020-01-02T12:27:16Z,2020,1,2
11,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,x7v-vkJTKLM,"North Korea state TV airs video of Kim Jong-un riding a horse up the sacred mountain, Mount Paektu",North Korea's state-run television KRT broadcast a new video of leader Kim Jong Un riding white horse at a sacred mountain with ...,https://www.youtube.com/watch?v=x7v-vkJTKLM,2020-01-02T09:44:38Z,2020,1,2
12,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,vwYtfwDzpug,Inside the self-defence classes where Londoners learn how to take down terrorists,TERRIFIED Brits are wearing stab-proof vests and flocking to self-defence classes in a desperate attempt to stay safe on Lawless ...,https://www.youtube.com/watch?v=vwYtfwDzpug,2020-01-01T19:33:12Z,2020,1,1
13,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,a7mA-hIY8a4,Thousands of performers from around the world take part in London&#39;s New Year&#39;s Day Parade,Thousands of performers from around the world take part in London's New Year's Day Parade to celebrate the start of 2020 and a ...,https://www.youtube.com/watch?v=a7mA-hIY8a4,2020-01-01T16:46:40Z,2020,1,1
14,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,cL8084DIsl8,Apologetic Pope Francis admits he ‘lost patience’ after lashing out at worshipper who grabbed him,Pope Francis today apologised and admitted he 'lost his patience' after angrily batting away a woman who grabbed him in St ...,https://www.youtube.com/watch?v=cL8084DIsl8,2020-01-01T15:57:06Z,2020,1,1
15,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,pmTnj0dqJ0M,Donald Trump warns Iran war with US is a &#39;bad idea&#39; at New Year&#39;s Eve ball at Mar-a-Lago,"US President Donald Trump said on Tuesday (December 31) he does not want, or foresee, war with Iran, after he earlier ...",https://www.youtube.com/watch?v=pmTnj0dqJ0M,2020-01-01T09:41:08Z,2020,1,1
16,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,FuaPfEoISHI,New York rings in 2020 with spectacular traditional New Year&#39;s Eve Times Square Ball Drop,"From Brexit breaking news to HD movie trailers, The Sun newspaper brings you the latest news videos and explainers from the ...",https://www.youtube.com/watch?v=FuaPfEoISHI,2020-01-01T06:39:47Z,2020,1,1
17,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,LgBo_xuZVu0,Boris Johnson outlines his plans for the country as he wishes the nation a Happy New Year,"In a New Year's message, the PM pledged to kick-start the roaring twenties by ending the “division, rancour and uncertainty” ...",https://www.youtube.com/watch?v=LgBo_xuZVu0,2019-12-31T23:33:48Z,2019,12,31
18,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,zZ59T5TErkM,"Australia bushfires trap 4,000 people at Mallacoota beach under blood red sky",Thousands of stranded people will be rescued by army helicopters as deadly bushfires turned the skies blood red on Australia's ...,https://www.youtube.com/watch?v=zZ59T5TErkM,2019-12-31T09:41:53Z,2019,12,31
19,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,VzgRzoP8C7g,Here are some of our favourite royal moments from 2019,"2019 was quite a year for the Royal Family. From Brexit breaking news to HD movie trailers, The Sun newspaper brings you the ...",https://www.youtube.com/watch?v=VzgRzoP8C7g,2019-12-30T14:00:06Z,2019,12,30
20,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,IbLBwo8qYdk,British woman found guilty of lying about being gang raped by 12 Israelis in Cyprus,"A BRITISH teenager who said she was gang raped by 12 Israeli cadets in Ayia Napa left court in a ""stitched lips"" protest mask after ...",https://www.youtube.com/watch?v=IbLBwo8qYdk,2019-12-30T11:22:24Z,2019,12,30
21,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,CK9vswQdFUc,US airstrikes target sites in Iraq and Syria linked to Iranian-backed militia,THE US has hit out at Iran with deadly strikes on key sites in Iraq and Syria controlled by an Iranian-backed militia group.,https://www.youtube.com/watch?v=CK9vswQdFUc,2019-12-30T08:08:52Z,2019,12,30
