index_label,channelId,channelTitle,videoId,vidoeTitle,description,link,time,year,month,day
0,UC16niRr50-MSBwiO3YDb3RA,BBC News,9gb6KJYFJiw,Coronavirus: &#39;You must stay at home&#39; UK public told - BBC News,Strict new curbs on life in the UK to tackle the spread of coronavirus have been announced by the British Prime Minister. People must now stay at home except ...,https://www.youtube.com/watch?v=9gb6KJYFJiw,2020-03-23T23:01:39Z,2020,3,23
1,UC16niRr50-MSBwiO3YDb3RA,BBC News,HlEFrbLeDks,Coronavirus: PM announcing strict new curbs on life in UK - BBC News,The prime minister is announcing strict new curbs on life in the UK to tackle the spread of coronavirus. From this evening people must stay at home except for ...,https://www.youtube.com/watch?v=HlEFrbLeDks,2020-03-23T20:48:03Z,2020,3,23
2,UC16niRr50-MSBwiO3YDb3RA,BBC News,UIJ6Gefld_A,Coronavirus: A quarter of the world鈥檚 population in lockdown - BBC News,Prime Minister Narendra Modi has told India's population of 1.3 billion people to stay at home. The lockdown is currently planned for 3 weeks. More than 2.6 ...,https://www.youtube.com/watch?v=UIJ6Gefld_A,2020-03-26T11:52:06Z,2020,3,26
3,UC16niRr50-MSBwiO3YDb3RA,BBC News,pXopk-mrLH8,How staying at home can stop coronavirus - BBC News,Governments around the world are encouraging people to stay at home to protect health services and save lives. Among the new measures being brought in the ...,https://www.youtube.com/watch?v=pXopk-mrLH8,2020-03-26T11:33:53Z,2020,3,26
4,UC16niRr50-MSBwiO3YDb3RA,BBC News,zH6kBumQLG4,Coronavirus: lockdown extended for weeks to prevent 鈥渟econd wave鈥 of deaths - BBC News,"The UK will remain in lockdown for at least three more weeks. The Foreign Secretary, Dominic Raab, said Britain was at a delicate and dangerous stage in this ...",https://www.youtube.com/watch?v=zH6kBumQLG4,2020-04-16T22:07:17Z,2020,4,16
5,UC16niRr50-MSBwiO3YDb3RA,BBC News,i_pHaP4oGgU,Coronavirus: UK lockdown extended for &#39;at least&#39; three weeks - BBC News,"Lockdown restrictions in the UK will continue for ""at least"" another three weeks as it tackles the coronavirus outbreak. Dominic Raab has said. The foreign ...",https://www.youtube.com/watch?v=i_pHaP4oGgU,2020-04-16T18:15:00Z,2020,4,16
6,UC16niRr50-MSBwiO3YDb3RA,BBC News,aQ6LERWK0T0,Coronavirus:  plan to ease lockdown as UK &quot;past peak&quot; of pandemic  - BBC News,"Boris Johnson has declared that the UK is past the peak of the coronavirus outbreak, and said that he will set out a comprehensive plan for gradually lifting the ...",https://www.youtube.com/watch?v=aQ6LERWK0T0,2020-04-30T21:38:40Z,2020,4,30
7,UC16niRr50-MSBwiO3YDb3RA,BBC News,qUX6JA7DHbk,Coronavirus: UK is &#39;past the peak&#39; says PM Boris Johnson - BBC News,"Boris Johnson says he can confirm ""for the first time we are past the peak of this disease and on the downward slope"". The PM says the UK will beat the disease ...",https://www.youtube.com/watch?v=qUX6JA7DHbk,2020-04-30T18:40:24Z,2020,4,30
8,UC16niRr50-MSBwiO3YDb3RA,BBC News,XFYGM9sQQvo,Coronavirus: Boris Johnson announces gradual easing of lockdown - BBC News,"The prime minister has outlined measures to start a gradual easing of the lockdown in England, while warning of the danger of a second surge of the pandemic.",https://www.youtube.com/watch?v=XFYGM9sQQvo,2020-05-10T21:38:08Z,2020,5,10
9,UC16niRr50-MSBwiO3YDb3RA,BBC News,wQcVUaowTbg,Boris Johnson unveils alert system for England - BBC News,"Boris Johnson has unveiled a ""conditional plan"" to reopen society. allowing people in England to spend more time outdoors from Wednesday. The PM also said ...",https://www.youtube.com/watch?v=wQcVUaowTbg,2020-05-10T18:40:41Z,2020,5,10
10,UC16niRr50-MSBwiO3YDb3RA,BBC News,pf83r6BB190,Lockdown eased across UK allowing groups of people to meet outside - BBC News,"Lockdown restrictions are being eased again across the UK over the next few days, with groups of people from different households finally being allowed to ...",https://www.youtube.com/watch?v=pf83r6BB190,2020-05-28T21:24:01Z,2020,5,28
11,UC16niRr50-MSBwiO3YDb3RA,BBC News,HZ4PoVHOSmM,Easing of lockdown means new rules to apply across the UK  - BBC News,"People in Scotland have been allowed to meet friends and family in small groups outdoors, for the first time since lockdown measures were introduced in late ...",https://www.youtube.com/watch?v=HZ4PoVHOSmM,2020-05-29T21:32:23Z,2020,5,29
