index_label,channelId,channelTitle,videoId,year,month,day,vidoeTitle,description,link,time
0,na,na,na,na,na,na,na,na,na,na
1,na,na,na,na,na,na,na,na,na,na
2,na,na,na,na,na,na,na,na,na,na
3,na,na,na,na,na,na,na,na,na,na
4,na,na,na,na,na,na,na,na,na,na
5,na,na,na,na,na,na,na,na,na,na
6,na,na,na,na,na,na,na,na,na,na
7,na,na,na,na,na,na,na,na,na,na
8,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,HYSSbA5P-H0,2020,5,11,Boris Johnson outlines new coronavirus guidelines in Parliament - Daily Mail,"Boris Johnson has played down expectations of a quick end to the misery for the country, saying going 'too far and too fast' risked ...",https://www.youtube.com/watch?v=HYSSbA5P-H0,2020-05-11T18:48:29Z
9,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,mfh0uExIoQ0,2020,5,18,Matt Hancock: Anyone over age of five can be tested for coronavirus,"Anyone over the age of five in the UK with coronavirus symptoms can now apply for a test, Matt Hancock announced today.",https://www.youtube.com/watch?v=mfh0uExIoQ0,2020-05-18T18:50:23Z
10,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,NONhDDWPbMc,2020,5,14,Daily UK coronavirus briefing: 14 May 2020,"The first round of random public testing in England, carried out by the Office for National Statistics, detected just 33 positive ...",https://www.youtube.com/watch?v=NONhDDWPbMc,2020-05-14T16:53:33Z
11,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,UtWUqGhpuI4,2020,5,13,Boris Johnson: &#39;No childcare is a barrier for going back to work&#39;,Boris Johnson was confronted with public frustration over his lockdown exit strategy tonight as he tried to explain how they will ...,https://www.youtube.com/watch?v=UtWUqGhpuI4,2020-05-13T15:51:01Z
12,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,whKWqWIZ_NA,2020,6,15,Nike Oxford Street store sees scuffles break out as it re-opens its doors,Shoppers desperate to hit the high street formed huge socially distanced queues after dawn today as the majority of stores ...,https://www.youtube.com/watch?v=whKWqWIZ_NA,2020-06-15T16:04:44Z
13,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,whKWqWIZ_NA,2020,6,15,Nike Oxford Street store sees scuffles break out as it re-opens its doors,Shoppers desperate to hit the high street formed huge socially distanced queues after dawn today as the majority of stores ...,https://www.youtube.com/watch?v=whKWqWIZ_NA,2020-06-15T16:04:44Z
14,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,wQAjP3e2sPQ,2020,6,23,Boris Johnson announces new lockdown measures,Customers could face a three-month waiting list for a trim and some salons said they will reopen at midnight to clear the huge ...,https://www.youtube.com/watch?v=wQAjP3e2sPQ,2020-06-23T14:19:23Z
15,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,wQAjP3e2sPQ,2020,6,23,Boris Johnson announces new lockdown measures,Customers could face a three-month waiting list for a trim and some salons said they will reopen at midnight to clear the huge ...,https://www.youtube.com/watch?v=wQAjP3e2sPQ,2020-06-23T14:19:23Z
16,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,vtS56sg0kmc,2020,6,29,Mayor of Leicester discusses local lockdown preparations and frustrations,Mayor of Leicester discusses local lockdown preparations and frustrations after fresh spike in coronavirus cases leading worries it ...,https://www.youtube.com/watch?v=vtS56sg0kmc,2020-06-29T13:03:47Z
17,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,QRsB-TOqaqQ,2020,6,15,Johnson urges shoppers to shop &#39;confidently&#39; as stores reopen,The Prime Minister visited Westfield shopping centre in East London today ahead of Monday's big retail relaunch for the British ...,https://www.youtube.com/watch?v=QRsB-TOqaqQ,2020-06-15T15:16:45Z
18,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,OJgBxRMebvw,2020,9,22,Boris Johnson outlines new Covid-19 restrictions for England,"Wedding guests will be capped at 15 under new Covid-19 rules set out by Boris Johnson this afternoon, while 30 mourners will be ...",https://www.youtube.com/watch?v=OJgBxRMebvw,2020-09-22T13:48:07Z
19,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,OshYTRdDvZc,2020,9,22,Boris Johnson says UK is at &#39;perilous turning point&#39; in Covid-19 statement,Boris Johnson today raised the prospect of the Army patrolling streets in England to enforce coronavirus rules as he unveiled a ...,https://www.youtube.com/watch?v=OshYTRdDvZc,2020-09-22T13:46:15Z
20,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,w8pS4JqygXo,2020,9,17,Boris Johnson: The UK does not have enough coronavirus testing capacity,"Boris Johnson bluntly acknowledged that there is 'not enough' capacity for screening as he blamed a 'huge, huge' surge in ...",https://www.youtube.com/watch?v=w8pS4JqygXo,2020-09-17T13:58:38Z
